,Star_Name,Distance,Mass,Radius
0,SDSS J000013.54+255418.6 [de],46.1,0.45820224,0.10173536999999999
1,2MASS J00040288-6410358,192.0,0.18137172,0.16750368999999998
2,2MASS J00242463-0158201,37.7,0.75412452,0.11201167000000001
3,2MASS J00274197+0503417,236.0,0.29592228,0.14797871999999998
4,2MASSW J0030300-145033,87.2,0.51547752,0.10070773999999999
5,2MASS J00332386-1521309 [de],131.0,0.27683051999999997,0.14695108999999998
6,2MASS J00345157+0523050,31.0,0.40092696,0.09659721999999998
7,2MASS 0036+1821,28.6,0.40092696,0.09659721999999998
8,2MASSW J0045214+163445,57.0,0.21955523999999998,0.16647606
9,WISEP J004701.06+680352.1 [fr],40.0,0.11455056,0.13359189999999999
10,2MASS J00501994-3322402 [de],34.0,0.3818352,0.09659721999999998
11,2MASS J00584253-0651239 [de],96.0,0.27683051999999997,0.14695108999999998
12,2MASSI J0103320+193536,70.0,0.49638576,0.10070773999999999
13,SDSSp J010752.33+004156.1 [de],51.0,0.49638576,0.10070773999999999
14,2MASSI J0117474-340325 [de],163.0,0.1909176,0.16647606
15,2MASS J01415823-4633574 [de],130.0,0.1909176,0.16544843
16,SDSS J015141.69+124429.6,70.0,0.44865636,0.09968010999999999
17,SDSS J020742.48+000056.2 [de],111.0,0.44865636,0.09968010999999999
18,2MASS J02103857-3015313,101.0,0.1431882,0.15722739
19,2MASS J02340093-6442068,155.0,0.1909176,0.16647606
20,2MASS J02411151-0326587 [de],152.0,0.25773876,0.14489582999999998
21,2MASS J02431371−2453298,35.0,0.31501404,0.10173536999999999
22,LP 771-21,53.0,0.74457864,0.11098404
23,Teegarden's star,12.578,0.7636704,0.13050900999999998
24,2MASS J02535980+3206373,184.0,0.6204822,0.19524969999999997
25,WISE J0254+0223,24.0,0.6204822,0.19524969999999997
26,DEN 0255-4700,16.2,0.7636704,0.09968010999999999
27,2MASS J03185403-3421292 [de],45.0,0.46774812,0.09968010999999999
28,2MASS J03205965+1854233,47.0,0.8400374399999999,0.11817744999999999
29,2MASS J03231002-4631237,192.0,0.21955523999999998,0.17058658
30,SDSS J032553.17+042540.1,59.0,0.42956459999999996,0.09762484999999999
31,2MASS J03264225-2102057 [de],80.0,0.17182584,0.13359189999999999
32,2MASS J03284265+2302051 [de],98.0,0.51547752,0.10070773999999999
33,2MASS J03341218-4953322,27.0,0.6968492399999999,0.10687352
34,LP 944-20,20.9,0.6968492399999999,0.14695108999999998
35,2MASP J0345432+254023,88.0,0.7063951199999999,0.10790115
36,Teide 1,380.0,0.5250234,0.38844413999999994
37,2MASS J03510004-0052452,48.0,0.97367976,0.13050900999999998
38,2MASS J03552337+1133437,29.8,0.1909176,0.13564716
39,2MASS J04151954−0935066,18.6,0.2863764,0.09762484999999999
40,2MASS J04285096-2253227 [de],85.0,0.7636704,0.11201167000000001
41,2MASS J04351612-1606574,34.0,0.954588,0.12948137999999998
42,2MASS J04362788-4114465,142.0,0.37228932,0.20244310999999998
43,2MASS J04390101-2353083 [de],29.5,0.45820224,0.09968010999999999
44,2MASS J04433764+0002040,82.0,0.21000935999999998,0.18291813999999998
45,2MASS J04455387-3048204 [de],42.0,0.61093632,0.102763
46,2MASS J04510093-3402150 [de],69.0,0.0099277152,7.398935999999999
47,2MASS J05002100+0330501 [de],44.0,0.61093632,0.102763
48,2MASS J05012406-0010452 [de],64.0,0.20046348,0.14181293999999997
49,2MASS J05160945-0445499 [de],73.0,0.44865636,0.09968010999999999
50,2MASS J0523−1403,40.0,0.64911984,0.10379063
51,SDSS J053951.99-005902.0,41.62,0.58229868,0.10379063
52,LSR 0602+3910 [de],34.6,0.26728463999999996,0.14489582999999998
53,2MASS J06085283-2753583,102.0,0.36274344,0.15517213
54,2MASS J06244595-4521548 [de],39.0,0.5345692799999999,0.10173536999999999
55,2MASS J06411840-4322329 [de],65.0,0.63957396,0.10379063
56,DENIS-P J0652197-253450 [de],51.0,0.7159409999999999,0.10790115
57,2MASS J07075327-4900503,60.0,0.68730336,0.10584589
58,UGPS J072227.51-054031.2,13.4,0.24819288,0.10070773999999999
59,2MASSI J0727182+171001 [de],29.6,0.39138108,0.09659721999999998
60,2MASS J07290002-3954043 [de],25.8,0.35319755999999997,0.09659721999999998
61,SDSS J074201.41+205520.5 [de],49.0,0.41047284,0.09659721999999998
62,DENIS-P J0751164-253043 [de],55.0,0.67775748,0.10584589
63,2MASS J07522390+1612157,60.0,0.019187218799999996,6.987883999999999
64,DENIS J081730.0-615520,16.1,0.42001871999999996,0.09659721999999998
65,2MASS J08251968+2115521 [de],35.0,0.49638576,0.10070773999999999
66,SDSSp J083008.12+482847.4 [de],43.0,0.45820224,0.10173536999999999
67,LHS 2021,55.0,0.8400374399999999,0.11817744999999999
68,SDSS J083048.80+012831.1 [de],77.0,0.43911047999999997,0.09865247999999999
69,2MASSI J0835425-081923 [de],23.53,0.59184456,0.102763
70,2MASSI J0847287-153237 [de],43.0,0.61093632,0.102763
71,2MASS J08533619-0329321,27.6,0.73503276,0.10995641
72,2MASSI J0859254-194926 [de],50.0,0.477294,0.10070773999999999
73,2MASSI J0937347+293142,20.0,0.40092696,0.09659721999999998
74,2MASS 0939−2448,17.4,0.30546816,0.09762484999999999
75,2MASS J09490860-1545485 [de],59.0,0.46774812,0.09865247999999999
76,2MASS J10073369-4555147,46.0,0.42001871999999996,0.09659721999999998
77,2MASSI J1010148-040649 [de],55.0,0.48683988,0.10070773999999999
78,2MASS J10224821+5825453 [de],60.0,0.25773876,0.14489582999999998
79,2MASSW J1036530-344138 [de],53.0,0.46774812,0.09968010999999999
80,2MASS J1047538+212423 [de],34.4,0.40092696,0.09659721999999998
81,DEN 1048-3956,13.15,0.73503276,0.10995641
82,Luhman 16B,6.516,0.41047284,0.10481826
83,Luhman 16A,6.516,0.3818352,0.10379063
84,DENIS-P J1058.7−1548,49.0,0.61093632,0.102763
85,TWA 28,180.0,0.34365168,0.24560357
86,Cha 110913-773444,163.0,0.07636704,0.18497339999999998
87,SDSS J111010.01+011613.1,63.0,0.08591292,0.12742612
88,2MASS J11145133−2618235,18.2,0.31501404,0.09865247999999999
89,TWA 26,137.0,0.2863764,0.2260786
90,2MASS J11544223-3400390 [de],129.0,0.35319755999999997,0.1541445
91,2MASSW J1155395-372735 [de],31.0,0.61093632,0.102763
92,2MASS J12074836-3900043,217.0,0.16227996,0.17572473
93,2MASSI J1217110-031113 [de],36.0,0.40092696,0.09659721999999998
94,2M 1237+6526,45.6,0.39138108,0.09659721999999998
95,TWA 29,262.0,0.01909176,2.5690749999999998
96,SDSSp J125453.90-012247.4 [de],38.0,0.44865636,0.10070773999999999
97,Kelu-1A,61.0,0.60139044,0.10070773999999999
98,Kelu-1B,61.0,0.5536610399999999,0.10070773999999999
99,2MASS J13204427+0409045,101.0,0.63957396,0.10379063
100,SDSSp J132629.82-003831.5 [de],65.0,0.48683988,0.09968010999999999
